
gpu memory:14102 MiB | gpu power:62 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:58 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:61 W | monitoring:          |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:75 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:78 W | monitoring:          |
gpu memory:14102 MiB | gpu power:75 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:62 W | monitoring:          |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:60 W | monitoring:          |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:55 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:77 W | monitoring:          |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:72 W | monitoring:          |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:59 W | monitoring:          |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:67 W | monitoring:          |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:60 W | monitoring:          |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:68 W | monitoring:          |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:65 W | monitoring:          |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:77 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:75 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:65 W | monitoring:          |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:62 W | monitoring:          |
gpu memory:14102 MiB | gpu power:77 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:67 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:60 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:55 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:78 W | monitoring:          |
gpu memory:14102 MiB | gpu power:60 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:71 W | monitoring:          |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:78 W | monitoring:          |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:77 W | monitoring:          |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:77 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:63 W | monitoring:          |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:67 W | monitoring:          |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:51 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:66 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:72 W | monitoring:          |
gpu memory:14102 MiB | gpu power:60 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:77 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:76 W | monitoring:          |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:66 W | monitoring:          |
gpu memory:14102 MiB | gpu power:49 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:54 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:70 W | monitoring:          |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:55 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:60 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:68 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:72 W | monitoring:          |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:63 W | monitoring:          |
gpu memory:14102 MiB | gpu power:58 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:80 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:70 W | monitoring:          |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:78 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:62 W | monitoring:          |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:65 W | monitoring:          |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:75 W | monitoring:          |
gpu memory:14102 MiB | gpu power:78 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:72 W | monitoring:          |
gpu memory:14102 MiB | gpu power:75 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:62 W | monitoring:          |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:50 W | monitoring:          |
gpu memory:14102 MiB | gpu power:57 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:70 W | monitoring:          |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:68 W | monitoring:          |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:80 W | monitoring:          |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:75 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:66 W | monitoring:          |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:75 W | monitoring:          |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:71 W | monitoring:          |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:63 W | monitoring:          |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:66 W | monitoring:          |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:66 W | monitoring:          |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:72 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:59 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:57 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:63 W | monitoring:          |
gpu memory:14102 MiB | gpu power:68 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:62 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:78 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:58 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:71 W | monitoring:          |
gpu memory:14102 MiB | gpu power:78 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:73 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:74 W | monitoring:          |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:67 W | monitoring:          |
gpu memory:14102 MiB | gpu power:52 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:78 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:73 W | monitoring:          |
gpu memory:14102 MiB | gpu power:76 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:66 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:74 W | monitoring:          |
gpu memory:14102 MiB | gpu power:67 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:63 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:74 W | monitoring:          |
gpu memory:14102 MiB | gpu power:70 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:64 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:68 W | monitoring:          |
gpu memory:14102 MiB | gpu power:74 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:72 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>>      |
gpu memory:14102 MiB | gpu power:71 W | monitoring: >>>>     |
gpu memory:14102 MiB | gpu power:68 W | monitoring:          |
gpu memory:14102 MiB | gpu power:69 W | monitoring: >        |
gpu memory:14102 MiB | gpu power:61 W | monitoring: >>       |
gpu memory:14102 MiB | gpu power:65 W | monitoring: >>>      |
